Year,Sex,Name,Count
1996,Female,daisia,10
1996,Female,daissy,5
1996,Female,daisy,2491
1996,Female,daizy,5
1996,Female,daja,202
1996,Female,dajah,131
1996,Female,dajanae,8
1996,Female,dajanay,5
1996,Female,dajia,16
1996,Female,dakota,1033
1996,Female,dakotah,20
1996,Female,dalena,8
1996,Female,dalia,279
1996,Female,dalila,54
1996,Female,dalilah,12
1996,Female,dallana,5
1996,Female,dallas,398
1996,Female,damara,5
1996,Female,damaris,182
1996,Female,damariz,5
1996,Female,dana,1785
1996,Female,danae,95
1996,Female,danasia,8
1996,Female,danaysha,5
1996,Female,dandra,5
1996,Female,daneisha,5
1996,Female,danelle,40
1996,Female,danelly,5
1996,Female,danesha,27
1996,Female,dani,56
1996,Female,dania,232
1996,Female,danica,112
1996,Female,daniel,44
1996,Female,daniela,1090
1996,Female,daniele,22
1996,Female,daniell,5
1996,Female,daniella,538
1996,Female,danielle,9285
1996,Female,danika,115
1996,Female,danisha,64
1996,Female,danita,10
1996,Female,danitza,12
1996,Female,danna,33
1996,Female,dannia,7
1996,Female,dannielle,32
